1.000,0.690,0.454,0.496,0.640,0.662,0.322,0.701,0.456,0.669,0.578,0.568,0.339,0.639,0.386,0.648,0.669,0.705,0.261,0.622,0.770,0.706,0.690,0.690,0.347,0.312,0.622,-0.204,0.578,0.159,0.669,0.386,0.653,0.531,0.698,0.578,0.261
0.690,1.000,0.517,0.349,0.841,0.716,0.283,0.828,0.699,0.885,0.746,0.565,0.272,0.778,0.475,0.719,0.885,0.803,0.531,0.527,0.942,0.668,0.654,0.654,0.536,0.274,0.527,0.004,0.746,0.277,0.885,0.475,0.851,0.718,0.895,0.746,0.531
0.454,0.517,1.000,0.262,0.703,0.189,0.246,0.569,0.473,0.652,0.474,0.033,0.714,0.627,0.297,0.222,0.652,0.593,0.253,0.736,0.645,0.706,0.606,0.606,0.398,0.715,0.736,-0.565,0.474,0.141,0.652,0.297,0.698,0.444,0.652,0.474,0.253
0.496,0.349,0.262,1.000,0.401,0.577,0.389,0.171,-0.024,0.531,0.121,0.666,0.293,0.007,0.370,0.363,0.531,0.648,0.506,0.454,0.402,0.222,0.394,0.394,-0.145,0.263,0.454,-0.374,0.121,-0.101,0.531,0.370,0.376,0.152,0.487,0.121,0.506
0.640,0.841,0.703,0.401,1.000,0.541,0.439,0.797,0.643,0.864,0.699,0.413,0.445,0.788,0.455,0.735,0.864,0.905,0.684,0.715,0.912,0.805,0.878,0.878,0.411,0.503,0.715,-0.321,0.699,0.171,0.864,0.455,0.997,0.652,0.861,0.699,0.684
0.662,0.716,0.189,0.577,0.541,1.000,0.335,0.620,0.425,0.735,0.540,0.911,-0.021,0.350,0.549,0.753,0.735,0.676,0.635,0.330,0.645,0.356,0.455,0.455,0.255,-0.229,0.330,0.180,0.540,0.148,0.735,0.549,0.531,0.564,0.711,0.540,0.635
0.322,0.283,0.246,0.389,0.439,0.335,1.000,0.286,0.286,0.346,0.350,0.312,-0.034,0.263,0.322,0.428,0.346,0.540,0.385,0.238,0.310,0.227,0.695,0.695,-0.023,0.125,0.238,-0.132,0.350,-0.021,0.346,0.322,0.427,0.353,0.332,0.350,0.385
0.701,0.828,0.569,0.171,0.797,0.620,0.286,1.000,0.850,0.751,0.773,0.485,0.194,0.779,0.520,0.621,0.751,0.637,0.477,0.477,0.792,0.650,0.651,0.651,0.789,0.214,0.477,0.042,0.773,0.510,0.751,0.520,0.795,0.747,0.767,0.773,0.477
0.456,0.699,0.473,-0.024,0.643,0.425,0.286,0.850,1.000,0.596,0.861,0.371,0.099,0.772,0.706,0.368,0.596,0.484,0.370,0.145,0.644,0.409,0.520,0.520,0.761,0.228,0.145,0.269,0.861,0.706,0.596,0.706,0.629,0.857,0.600,0.861,0.370
0.669,0.885,0.652,0.531,0.864,0.735,0.346,0.751,0.596,1.000,0.736,0.568,0.317,0.737,0.597,0.683,1.000,0.823,0.558,0.630,0.932,0.636,0.693,0.693,0.355,0.323,0.630,-0.231,0.736,0.133,1.000,0.597,0.862,0.716,0.994,0.736,0.558
0.578,0.746,0.474,0.121,0.699,0.540,0.350,0.773,0.861,0.736,1.000,0.418,0.078,0.846,0.827,0.528,0.736,0.603,0.356,0.285,0.762,0.540,0.637,0.637,0.535,0.208,0.285,0.127,1.000,0.484,0.736,0.827,0.691,0.989,0.738,1.000,0.356
0.568,0.565,0.033,0.666,0.413,0.911,0.312,0.485,0.371,0.568,0.418,1.000,-0.069,0.200,0.587,0.638,0.568,0.605,0.665,0.147,0.471,0.151,0.329,0.329,0.176,-0.196,0.147,0.212,0.418,0.260,0.568,0.587,0.395,0.450,0.522,0.418,0.665
0.339,0.272,0.714,0.293,0.445,-0.021,-0.034,0.194,0.099,0.317,0.078,-0.069,1.000,0.327,-0.029,0.029,0.317,0.494,0.168,0.531,0.421,0.536,0.434,0.434,0.087,0.708,0.531,-0.535,0.078,-0.091,0.317,-0.029,0.447,0.033,0.326,0.078,0.168
0.639,0.778,0.627,0.007,0.788,0.350,0.263,0.779,0.772,0.737,0.846,0.200,0.327,1.000,0.490,0.560,0.737,0.615,0.224,0.446,0.855,0.702,0.710,0.710,0.510,0.463,0.446,-0.136,0.846,0.307,0.737,0.490,0.809,0.772,0.770,0.846,0.224
